keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
http://t.co/zkUDsKdPh6,LINK,0,1136,133,784,RT for a chance to win from Rem4Men http://t.co/yqVjxkZfm4 NoPurchNec #AmazonGiveaway Rules:https://t.co/zayLYIivJ1 http://t.co/zkUDsKdPh6,1136,133,784,Amazon,19/06/2015
http://t.co/yqVjxkZfm4,LINK,0,1136,133,784,RT for a chance to win from Rem4Men http://t.co/yqVjxkZfm4 NoPurchNec #AmazonGiveaway Rules:https://t.co/zayLYIivJ1 http://t.co/zkUDsKdPh6,1136,133,784,Amazon,20/03/2015
http://t.co/XGL0joMUmR,LINK,0,1135,128,782,Follow amazon and retweet for a chance to win http://t.co/XGL0joMUmR Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/qildCtw2Nx,1135,128,782,Amazon,18/03/2015
http://t.co/qildCtw2Nx,LINK,0,1135,128,782,Follow amazon and retweet for a chance to win http://t.co/XGL0joMUmR Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/qildCtw2Nx,1135,128,782,Amazon,12/1/2015
http://t.co/9J8NjPaACr,LINK,0,1132,130,781,Follow Amazon and retweet for a chance to win http://t.co/roPph393AW #AmazonSweeps Rules https://t.co/DruxqEitlO http://t.co/9J8NjPaACr,1132,130,781,Amazon,5/6/2015
https://t.co/DruxqEitlO,LINK,0,1132,130,781,Follow Amazon and retweet for a chance to win http://t.co/roPph393AW #AmazonSweeps Rules https://t.co/DruxqEitlO http://t.co/9J8NjPaACr,1132,130,781,Amazon,2/2/2015
http://t.co/roPph393AW,LINK,0,1132,130,781,Follow Amazon and retweet for a chance to win http://t.co/roPph393AW #AmazonSweeps Rules https://t.co/DruxqEitlO http://t.co/9J8NjPaACr,1132,130,781,Amazon,9/6/2015
@amazonappstore,USERNAME,3.99E-09,772,802,776,Enter for a chance to win $25000 in Amazon Gift Cards from amazonappstore! http://t.co/p70Y4VX8ue NoPurchNec http://t.co/nEOntK2xTn,107,122,112,Amazon,9/5/2015
@Amazon_Studios,USERNAME,0.006544919,694,922,770,RT Amazon_Studios: Congratulations to #Transparent from the entire Amazon Studios team! #GoldenGlobes http://t.co/ZGk3N5mB5P,199,318,240,Amazon,9/6/2015
#ThrowbackThursday,HASHTAG,9.30E-06,632,1025,765,Before apps social media and phone games there was this. #ThrowbackThursday http://t.co/hpUzZ9e8aD http://t.co/PNK5afKjD1,153,176,161,Amazon,31/03/2015
