,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity,,,,,
27/03/2014,#iPad,HASHTAG,0,entity,0b6cc787-c7b9-4e33-85f7-09227b51c4d3,Welcome to the #iPad and @AppStore!   @satyanadella and  Office for iPad,4669,2395,3873,,,,,
27/03/2014,AppStore,OTHER,0,entity,0b6cc787-c7b9-4e33-85f7-09227b51c4d3,Welcome to the #iPad and @AppStore!   @satyanadella and  Office for iPad,4669,2395,3873,,,,,
27/03/2014,satyanadella,OTHER,0,entity,0b6cc787-c7b9-4e33-85f7-09227b51c4d3,Welcome to the #iPad and @AppStore!   @satyanadella and  Office for iPad,4669,2395,3873,,,,,
15/08/2014,#IceBucketChallenge,HASHTAG,0,entity,a242d454-5999-45f5-98ab-7e0a101cbcce,Took the ALS #IceBucketChallenge with @michaelfranti at Apple. Challenge Bob Iger and @drdre. http://t.co/yc53yLofoA http://t.co/Tei0DwiefU,3650,3971,3762,,,,,
15/08/2014,michaelfranti,OTHER,0,entity,a242d454-5999-45f5-98ab-7e0a101cbcce,Took the ALS #IceBucketChallenge with @michaelfranti at Apple. Challenge Bob Iger and @drdre. http://t.co/yc53yLofoA http://t.co/Tei0DwiefU,3650,3971,3762,,,,,
15/08/2014,Apple,OTHER,0,entity,a242d454-5999-45f5-98ab-7e0a101cbcce,Took the ALS #IceBucketChallenge with @michaelfranti at Apple. Challenge Bob Iger and @drdre. http://t.co/yc53yLofoA http://t.co/Tei0DwiefU,3650,3971,3762,,,,,
15/08/2014,drdre,OTHER,0,entity,a242d454-5999-45f5-98ab-7e0a101cbcce,Took the ALS #IceBucketChallenge with @michaelfranti at Apple. Challenge Bob Iger and @drdre. http://t.co/yc53yLofoA http://t.co/Tei0DwiefU,3650,3971,3762,,,,,
15/08/2014,http://t.co/yc53yLofoA,LINK,0,entity,a242d454-5999-45f5-98ab-7e0a101cbcce,Took the ALS #IceBucketChallenge with @michaelfranti at Apple. Challenge Bob Iger and @drdre. http://t.co/yc53yLofoA http://t.co/Tei0DwiefU,3650,3971,3762,,,,,
9/3/2015,talented team,OTHER,0.699999988,phrase,435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,2592,5149,3487,,,,,
9/3/2015,Apple,OTHER,0.699999988,entity,435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,2592,5149,3487,,,,,
9/3/2015,talented team,OTHER,0.699999988,theme,435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,2592,5149,3487,,,,,
9/3/2015,huge,OTHER,0.200000003,phrase,435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,2592,5149,3487,,,,,
16/07/2014,Apple,OTHER,0,entity,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
16/07/2014,landmark enterprise partnership,OTHER,0,theme,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
16/07/2014,IBM,OTHER,0,entity,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
16/07/2014,#Apple,HASHTAG,0,entity,ebe909eb-b8e4-44e0-950e-78ac43f64b8e,Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3406,,,,,
