keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
#WindowsPhone,HASHTAG,2.29E-11,5709,3532,4938,RT windowsphone: Meet #Cortana.�#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012,Microsoft
Office,OTHER,1.90E-10,5295,3981,4816,"RT Office: More than 12 million downloads of Word, Excel, PPT &amp; OneNote for #iPad from the AppStore &lt;3 #OfficeforiPad http://t.co/iT2egNP�",974,390,769,Microsoft
first product,OTHER,0.414312005,5219,3676,4678,"RT PaulGAllen: 40 years ago Microsoft began, what a journey! Here is the title page from Microsoft's first product BASIC http://t.co/xJyOo�",5219,3676,4678,Microsoft
PaulGAllen,OTHER,0,5219,3676,4678,"RT PaulGAllen: 40 years ago Microsoft began, what a journey! Here is the title page from Microsoft's first product BASIC http://t.co/xJyOo�",5219,3676,4678,Microsoft
title page,OTHER,0.414312005,5219,3676,4678,"RT PaulGAllen: 40 years ago Microsoft began, what a journey! Here is the title page from Microsoft's first product BASIC http://t.co/xJyOo�",5219,3676,4678,Microsoft
#Cortana,HASHTAG,1.45E-07,5065,3828,4617,RT windowsphone: Meet #Cortana.�#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012,Microsoft
#XboxSweeps,HASHTAG,0,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/�,6487,1049,4583,Microsoft
#SDCC,HASHTAG,0,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/�,6487,1049,4583,Microsoft
Nerdist,OTHER,0.88310349,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/�,6487,1049,4583,Microsoft
http://t.co/TEPxFWw5yH,LINK,0,5286,3156,4540,Introducing Microsoft HoloLens. Transform your world with holograms. Watch the webcast live: http://t.co/wNo7aeNB6c http://t.co/TEPxFWw5yH,5286,3156,4540,Microsoft
http://t.co/wNo7aeNB6c,LINK,0,5286,3156,4540,Introducing Microsoft HoloLens. Transform your world with holograms. Watch the webcast live: http://t.co/wNo7aeNB6c http://t.co/TEPxFWw5yH,5286,3156,4540,Microsoft
BillGates,OTHER,0,4434,4470,4446,RT BillGates: http://t.co/elZN60oCSj's tools are way better than what these guys started with� http://t.co/7uWVuYKjqy  #HourofCode http://�,1381,1581,1451,Microsoft
#bldwin,HASHTAG,0,5085,2732,4254,RT windowsphone: Meet #Cortana.�#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012,Microsoft
http://t.co/NruKE7qkbm,LINK,0,5064,2503,4167,RT majornelson: Urban legend CONFIRMED http://t.co/NruKE7qkbm,5064,2503,4167,Microsoft
#Xbox,HASHTAG,0,3925,4000,3945,RT Xbox: Coming to your #Xbox in June. Free games for Gold members. Entertainment apps for everyone. http://t.co/qO0mn68Q3q http://t.co/lo�,1301,1191,1262,Microsoft
NFL,OTHER,0.084696368,3546,4589,3905,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082,Microsoft
http://t.co/ebAuoNC7mO,LINK,0,4590,2626,3902,Minecraft to join Microsoft http://t.co/ebAuoNC7mO http://t.co/LePrYjCysC,4590,2626,3902,Microsoft
http://t.co/LePrYjCysC,LINK,0,4590,2626,3902,Minecraft to join Microsoft http://t.co/ebAuoNC7mO http://t.co/LePrYjCysC,4590,2626,3902,Microsoft
WindowsPhone,OTHER,2.41E-04,4025,3289,3746,RT Windows: Introducing #Cortana: Your new best friend on WindowsPhone. #BLDWIN http://t.co/mYrWSxUsXm,799,402,660,Microsoft
http://t.co/3ufMk24hxJ,LINK,0,3479,4223,3739,"Introducing Microsoft Band, powered by Microsoft Health: http://t.co/FhJ78F7yqL http://t.co/3ufMk24hxJ",3479,4223,3739,Microsoft
http://t.co/FhJ78F7yqL,LINK,0,3479,4223,3739,"Introducing Microsoft Band, powered by Microsoft Health: http://t.co/FhJ78F7yqL http://t.co/3ufMk24hxJ",3479,4223,3739,Microsoft
#BingWorthy,HASHTAG,0.104805558,3430,3820,3564,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp�,903,1006,939,Microsoft
Minecraft,OTHER,0,3422,3397,3413,RT HoloLens: It's official: Minecraft is coming to Microsoft #HoloLens. #XboxE3 http://t.co/VSyAlmdu2s,3422,3397,3413,Microsoft
Surface,OTHER,1.34E-04,3503,3279,3386,"RT satyanadella: today's Surface event, sketched on a #SurfacePro3 http://t.co/Tv7S8ACgxP",775,494,676,Microsoft
now available,OTHER,0.024119179,3421,3205,3337,RT bing: The Top 10 finalists in our Homepage Photo Contest are now available. Vote now: http://t.co/Z316UBD7aN #BingWorthy http://t.co/Gl�,636,693,655,Microsoft
latest,OTHER,-0.125487155,3419,3087,3301,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp�,903,1006,939,Microsoft
Holographic computing,OTHER,0,3834,2159,3247,"Holographic computing is here, enabled by Windows 10. Watch the webcast live: http://t.co/Riqn6Hh6WH http://t.co/T66YR0AyGl",3834,2159,3247,Microsoft
http://t.co/Riqn6Hh6WH,LINK,0,3834,2159,3247,"Holographic computing is here, enabled by Windows 10. Watch the webcast live: http://t.co/Riqn6Hh6WH http://t.co/T66YR0AyGl",3834,2159,3247,Microsoft
http://t.co/T66YR0AyGl,LINK,0,3834,2159,3247,"Holographic computing is here, enabled by Windows 10. Watch the webcast live: http://t.co/Riqn6Hh6WH http://t.co/T66YR0AyGl",3834,2159,3247,Microsoft
DangeRussWilson,OTHER,-0.01,2472,4550,3197,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082,Microsoft
#DoMore,HASHTAG,1.78E-11,2700,3813,3073,"Henry Ford II built more than 1,000 bikes to keep Detroit on the move. #DoMorehttps://t.co/yhklWN6coI",341,382,355,Microsoft
great,OTHER,0.014670429,3017,3194,3039,RT satyanadella: great doodle of the world of data. catalyzing data exhaust into fuel for ambient intelligence http://t.co/GayjelefsE http�,849,608,764,Microsoft
update,OTHER,0.020499128,3215,2627,2999,RT nokia: The #Lumia Cyan update with Windows Phone 8.1 and Lumia features starts rolling out today! http://t.co/3FUfUoID7F http://t.co/YM�,1124,761,996,Microsoft
#HourOfCode,HASHTAG,0,2596,3735,2994,Everyone Starts Somewhere: Start coding with an #HourOfCode https://t.co/yow5a5dJRO,2196,3339,2596,Microsoft
nokia,OTHER,0.003712123,2922,2954,2928,RT nokia: The #Lumia Cyan update with Windows Phone 8.1 and Lumia features starts rolling out today! http://t.co/3FUfUoID7F http://t.co/YM�,1124,761,996,Microsoft
http://t.co/KcsKoHJafd,LINK,0,2762,3209,2918,"RT Xbox: Gold, black, and gunmetal are in.?Get a closer look at the new 1TB Advanced Warfare Bundle: http://t.co/KcsKoHJafd http://t.co/X�",2762,3209,2918,Microsoft
available today,OTHER,0.251406258,3190,2178,2834,RT XboxEntertain: #TheInterview is available today on #XboxVideo and on http://t.co/z0Uqvv6A3m. http://t.co/mnDwPuepko http://t.co/FYlq2IN�,1528,1038,1356,Microsoft
https://t.co/yow5a5dJRO,LINK,0,2196,3339,2596,Everyone Starts Somewhere: Start coding with an #HourOfCode https://t.co/yow5a5dJRO,2196,3339,2596,Microsoft
onedrive,OTHER,1.10E-12,2807,2188,2583,RT onedrive: Your #OneDrive just got bigger. http://t.co/TROfUN3d55 #moreforyou http://t.co/GBO0XeEUsl,929,544,794,Microsoft
updates,OTHER,0.057333824,2726,2288,2568,RT Windows: We're moments from sharing the latest updates on #Windows10. Watch our live stream: http://t.co/2xfBkN9we2 http://t.co/dv9hK3x�,913,579,796,Microsoft
http://t.co/AfGMdsO2W2,LINK,0,2230,3109,2536,RT Xbox: New games. Big news. Watch this year's #XboxE3 broadcast LIVE beginning 9AM PT: http://t.co/AfGMdsO2W2 http://t.co/8ydvDQgkG8,1333,1578,1418,Microsoft
#5to9,HASHTAG,1.66E-07,2724,2059,2486,Your passions never clock out. How do you own your #5to9? http://t.co/ZsBvT6HVDd,1936,745,1519,Microsoft
#TBT,HASHTAG,4.17E-04,2697,2106,2486,RT Windows: The #PC has come a long way. #TBT http://t.co/35hpk68m15,794,618,732,Microsoft
Seahawks,OTHER,0,1993,3281,2442,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082,Microsoft
#HourofCode,HASHTAG,0.039,2336,2447,2374,RT BillGates: http://t.co/elZN60oCSj's tools are way better than what these guys started with� http://t.co/7uWVuYKjqy  #HourofCode http://�,1381,1581,1451,Microsoft
http://t.co/FuE3WvxALG,LINK,0,2441,2237,2369,"RT surface: Meet #SurfacePro3, the tablet that can replace your laptop. http://t.co/FuE3WvxALG",2441,2237,2369,Microsoft
NokiaUS,OTHER,1.71E-17,2224,2578,2338,"RT NokiaUS: High on features, low on cost. Say hello to #Lumia 635 &amp; Cortana, available 7/16 on TMobile: http://t.co/QkGn8hu485 http://t.�",189,213,197,Microsoft
quantum computing,OTHER,4.86E-05,2315,2381,2336,RT BillGates: An introduction to the mind-bending world of quantum computing: http://t.co/xlMkveNxHb,1322,1400,1349,Microsoft
excited,OTHER,0.008514581,2549,1910,2307,RT satyanadella: Thrilled to welcome the Minecraft community to the MSFT family &amp; excited about the open-world possibilities ahead! http:/�,935,505,784,Microsoft
love,OTHER,0.002870749,2183,2687,2274,RT satyanadella: Our ambition is for you to love Windows and make it home - sign up to be an Insider. http://t.co/qWsXiv4GJq #Windows10,736,610,691,Microsoft
historic moment,OTHER,0.298817009,1996,2788,2272,RT satyanadella: A historic moment and step forward for equality in America. #LoveWins,998,1394,1136,Microsoft
ID_Xbox,OTHER,0.429659367,3203,429,2232,"RT Xbox: Zombies, zombies everywhere. 30 #XboxOne codes, here.RT for a chance to win a free copy of Zombie Driver from ID_Xbox",3203,429,2232,Microsoft
http://t.co/Ey2hMUccDv,LINK,0,2192,2249,2211,RT Xbox: The Halo JourneyFind out what the future holds: http://t.co/xfz3QmsVEX http://t.co/Ey2hMUccDv,2192,2249,2211,Microsoft
http://t.co/xfz3QmsVEX,LINK,0,2192,2249,2211,RT Xbox: The Halo JourneyFind out what the future holds: http://t.co/xfz3QmsVEX http://t.co/Ey2hMUccDv,2192,2249,2211,Microsoft
http://t.co/qVBqmHUe7V,LINK,0,1806,2942,2203,RT Xbox: End 2014 with a bang.The #Halo 5: Guardians multiplayer beta is live: http://t.co/vATmIndEAb http://t.co/qVBqmHUe7V,1806,2942,2203,Microsoft
http://t.co/vATmIndEAb,LINK,0,1806,2942,2203,RT Xbox: End 2014 with a bang.The #Halo 5: Guardians multiplayer beta is live: http://t.co/vATmIndEAb http://t.co/qVBqmHUe7V,1806,2942,2203,Microsoft
#Halo,HASHTAG,0,1806,2942,2203,RT Xbox: End 2014 with a bang.The #Halo 5: Guardians multiplayer beta is live: http://t.co/vATmIndEAb http://t.co/qVBqmHUe7V,1806,2942,2203,Microsoft
#SB49,HASHTAG,0,1992,2493,2166,One of our TWO Super Bowl commercials this year: Estella's Brilliant Bus#empowering #SB49https://t.co/Ic4zb6Gwy4,1358,1706,1479,Microsoft
#Surface,HASHTAG,0.006690178,1916,2624,2158,RT surface: In 24 hours we'll be kicking back watching the Livestream of our #Surface New York event. http://t.co/v7wj0Feoe0 http://t.co/K�,352,1095,612,Microsoft
https://t.co/xLBdyYeRy2,LINK,0,1748,2704,2082,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082,Microsoft
XboxEntertain,OTHER,0,2293,1635,2060,RT XboxEntertain: #TheInterview is available today on #XboxVideo and on http://t.co/z0Uqvv6A3m. http://t.co/mnDwPuepko http://t.co/FYlq2IN�,1528,1038,1356,Microsoft
https://t.co/MORrzfCmrO,LINK,0,1335,3004,1919,"""Technology has changed Braylon's life by opening up the world for him."" #empoweringhttps://t.co/MORrzfCmrO",1335,3004,1919,Microsoft
"""Technology has changed Braylon's life by opening up the world for him.""",OTHER,0,1335,3004,1919,"""Technology has changed Braylon's life by opening up the world for him."" #empoweringhttps://t.co/MORrzfCmrO",1335,3004,1919,Microsoft
#Dragon,HASHTAG,-0.327500015,1788,2140,1910,RT NASA: A pair of HoloLens is flying on SpaceX #Dragon Sunday to aid Space_Station crews: http://t.co/83PNxj3Ojp Skypehttps://t.co/V�,894,1070,955,Microsoft
