keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
last day,OTHER,0.01615695277777778,1380,8138,3743,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550
#100Books,HASHTAG,1.3568824460660757E-8,2114,4189,2800,March is National Reading Month and we're going to celebrate by sharing 100 Books to Read in a Lifetime. #100Books,165,220,184
@Money23Green,USERNAME,0.6683787405,2597,373,1817,RT Amazon3PSellers: Follow + RT for a chance to win: jackeryinc signed by Money23Green http://t.co/yJq3SSgmj7http://t.co/dfkBlXi8wO ht�,1316,176,916
#WiiU,HASHTAG,0.441551745,2383,275,1645,RT amazongames: Day 4 of #12DaysofGiveaways:Follow &amp; RT for a chance to win #SuperSmashBros for #WiiU. http://t.co/gwhVLBIXQp http://t.co�,2383,275,1645
http://t.co/iDSQiefFYY,LINK,0.0,1862,201,1280,Follow Amazon and RT for a chance to win http://t.co/iVpq1a6RUv #AmazonSweeps Rules https://t.co/fNiIGz8FhU http://t.co/iDSQiefFYY,1862,201,1280
http://t.co/iVpq1a6RUv,LINK,0.0,1862,201,1280,Follow Amazon and RT for a chance to win http://t.co/iVpq1a6RUv #AmazonSweeps Rules https://t.co/fNiIGz8FhU http://t.co/iDSQiefFYY,1862,201,1280
@KDTrey5,USERNAME,0.0,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526
https://t.co/34k8zwb4eU,LINK,0.0,1828,219,1264,Follow Amazon and RT for a chance to win http://t.co/MsRLWzE1zl Rules https://t.co/34k8zwb4eU #AmazonSweeps http://t.co/qLhBJCG4G4,1828,219,1264
https://t.co/sFDxVarIIl,LINK,0.0,2140,237,1473,RT for a chance to win from Rem4Men https://t.co/sFDxVarIIl NoPurchNec #AmazonGiveaway Rules https://t.co/DdTHpMZwOl http://t.co/mFctZWooW3,1158,128,797
#NBA2K15,HASHTAG,0.3209610333333333,1876,1659,1798,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526
http://t.co/EAchj7bkMn,LINK,0.0,3260,378,2250,Follow amazon and retweet for a chance to win http://t.co/XGL0joMUmR Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/qildCtw2Nx,1135,128,782
http://t.co/IY9PebiWuV,LINK,0.0,2242,260,1548,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/�,2242,260,1548
http://t.co/76HUOSZq7m,LINK,0.0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
#AmazonReviews,HASHTAG,0.0,1262,1384,1300,Crystal Ballpoint Pen� #AmazonReviews http://t.co/LQhgkWcGZJ,429,387,414
http://t.co/MUsBzljfOF,LINK,0.0,2393,250,1642,RT amazongames: Follow &amp; RT for a chance to win Halo The Master Chief Collection #12DaysOfGiveaways http://t.co/MUsBzljfOF http://t.co/uo�,2393,250,1642
@Rem4Men,USERNAME,0.047221505955555555,6310,732,4354,RT for a chance to win from Rem4Men http://t.co/nFaMN8n8tx NoPurchNec #AmazonGiveaway Rules:https://t.co/5OSeGt0b3F http://t.co/qbADuBxdBR,1238,143,854
http://t.co/ho17SI4FMy,LINK,0.0,2549,376,1788,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http�,2549,376,1788
#FallonT,HASHTAG,0.0,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515
http://t.co/4z05LXiZ6C,LINK,0.0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
free shipping,OTHER,0.075539,1185,7943,3550,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550
http://t.co/jf5ERUAUUf,LINK,0.0,1144,737,1001,In case you ever need to pump deflated footballs http://t.co/jf5ERUAUUf http://t.co/XYyEI9LpXm,1144,737,1001
s return,OTHER,0.506876051,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526
@middleearthgame,USERNAME,0.441551745,2512,290,1734,RT amazongames: Follow &amp; RT for a chance to win middleearthgame #ShadowofMordor for #PS4 or #XboxOne. http://t.co/TVhf0jnFtN http://t.co/�,2512,290,1734
special edition,OTHER,0.6804809865,2562,394,1802,RT Amazon3PSellers: Follow + RT for a chance to win a Money23Green special edition jackeryinc!http://t.co/j8CKCtzkCD#AmazonSweeps http�,1281,197,901
http://t.co/Zv0Ygchk50,LINK,0.0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
http://t.co/qbADuBxdBR,LINK,0.0,1238,143,854,RT for a chance to win from Rem4Men http://t.co/nFaMN8n8tx NoPurchNec #AmazonGiveaway Rules:https://t.co/5OSeGt0b3F http://t.co/qbADuBxdBR,1238,143,854
https://t.co/AFRt8Fmjr3,LINK,0.0,1636,245,1149,Follow Amazon and retweet for a chance to win http://t.co/fZCgXYAqTC Rules https://t.co/AFRt8Fmjr3 #AmazonSweeps http://t.co/qFPIp3nAia,1636,245,1149
@turtlebeach,USERNAME,0.465775877,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332
#AmazonPrime,HASHTAG,2.5761443103697356E-6,624,1480,918,RT catastrophe_tv: #CatastropheTV is here! Stream all episodes only on #AmazonPrime: http://t.co/N8hajnb6o7https://t.co/tCZsFkoNqd,164,767,375
@AmazonKindle,USERNAME,2.2792165675086173E-5,1860,2214,1971,RT AmazonKindle: Celebrate National Reading Month with $20 off Kindle: http://t.co/EHCZvRvXSB  Limited-time only. http://t.co/0wUOb9YqgG,486,372,446
http://t.co/PapkqENpmW,LINK,0.0,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332
https://t.co/v7PSyBGwm2,LINK,0.0,1175,142,813,Follow amazon and RT for a chance to win http://t.co/0SXxXtpRHk #AmazonSweeps Rules: https://t.co/v7PSyBGwm2 http://t.co/9YF7Kl8M4z,1175,142,813
http://t.co/E4vGPffQY4,LINK,0.0,1468,183,1018,Follow Amazon and retweet for a chance to win http://t.co/CV61ogvbnn Rules https://t.co/2ZRIyxvqTW #AmazonSweeps http://t.co/E4vGPffQY4,1468,183,1018
http://t.co/kLVc3iAOaJ,LINK,0.0,1391,161,960,Follow Amazon and RT for a chance to win http://t.co/kLVc3iAOaJ Rules: https://t.co/1TNAb4Koeg #AmazonSweeps http://t.co/h4m1TmlZTU,1391,161,960
#MachoMan,HASHTAG,0.441551745,1975,399,1423,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/tTepUyqlg5 NoPurchNec http://t.co/8JglzS8hsq #giveaway #MachoMan htt�,1975,399,1423
@GreenPaxx,USERNAME,0.0012265326222222221,1707,342,1226,RT for a chance to win this GreenPaxx prize pack http://t.co/4oRNFtrqGn Rules https://t.co/m8jxuWB2Ll #AmazonSweeps http://t.co/KATIVkPjnK,747,119,527
http://t.co/MaL6F9Bxjn,LINK,0.0,1763,227,1225,Follow Amazon and RT for a chance to win http://t.co/OggEKfeK9f Rules https://t.co/UnBDUGqhBV #AmazonSweeps http://t.co/MaL6F9Bxjn,1763,227,1225
