date,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity
24/06/2015,#AmazonSweeps,HASHTAG,0.220775872,entity,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
24/06/2015,@amazon,USERNAME,0,entity,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
24/06/2015,http://t.co/76HUOSZq7m,LINK,0,entity,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
24/06/2015,http://t.co/4z05LXiZ6C,LINK,0,entity,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
24/06/2015,http://t.co/Zv0Ygchk50,LINK,0,entity,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
24/06/2015,@amazongames,USERNAME,0,entity,53eabfbd-948d-4aff-80d9-ba623538f25f,RT amazongames: #Fallout4 Pip-Boy Edition for PC: http://t.co/EaXxOio2el,39,24,33
24/06/2015,Pip-Boy Edition,OTHER,0,theme,53eabfbd-948d-4aff-80d9-ba623538f25f,RT amazongames: #Fallout4 Pip-Boy Edition for PC: http://t.co/EaXxOio2el,39,24,33
24/06/2015,#Fallout4,HASHTAG,0,entity,53eabfbd-948d-4aff-80d9-ba623538f25f,RT amazongames: #Fallout4 Pip-Boy Edition for PC: http://t.co/EaXxOio2el,39,24,33
24/06/2015,http://t.co/EaXxOio2el,LINK,0,entity,53eabfbd-948d-4aff-80d9-ba623538f25f,RT amazongames: #Fallout4 Pip-Boy Edition for PC: http://t.co/EaXxOio2el,39,24,33
24/06/2015,@amazongames,USERNAME,0,entity,913be721-e02a-469b-b3d3-55dc78c8354a,RT amazongames: #Fallout4 Pip-Boy Edition for Xbox One: http://t.co/ExPR07T1B5,32,27,30
24/06/2015,Pip-Boy Edition,OTHER,0,theme,913be721-e02a-469b-b3d3-55dc78c8354a,RT amazongames: #Fallout4 Pip-Boy Edition for Xbox One: http://t.co/ExPR07T1B5,32,27,30
24/06/2015,#Fallout4,HASHTAG,0,entity,913be721-e02a-469b-b3d3-55dc78c8354a,RT amazongames: #Fallout4 Pip-Boy Edition for Xbox One: http://t.co/ExPR07T1B5,32,27,30
24/06/2015,http://t.co/ExPR07T1B5,LINK,0,entity,913be721-e02a-469b-b3d3-55dc78c8354a,RT amazongames: #Fallout4 Pip-Boy Edition for Xbox One: http://t.co/ExPR07T1B5,32,27,30
24/06/2015,@amazongames,USERNAME,0,entity,1d90cb78-42e1-47aa-bf13-2c6561c740e5,RT amazongames: We've got more of the #Fallout4 Pip-Boy Edition for all platforms while supplies last! PS4: http://t.co/uDESqdW8FK http:/�,108,102,105
24/06/2015,#Fallout4,HASHTAG,0,entity,1d90cb78-42e1-47aa-bf13-2c6561c740e5,RT amazongames: We've got more of the #Fallout4 Pip-Boy Edition for all platforms while supplies last! PS4: http://t.co/uDESqdW8FK http:/�,108,102,105
24/06/2015,http://t.co/uDESqdW8FK,LINK,0,entity,1d90cb78-42e1-47aa-bf13-2c6561c740e5,RT amazongames: We've got more of the #Fallout4 Pip-Boy Edition for all platforms while supplies last! PS4: http://t.co/uDESqdW8FK http:/�,108,102,105
24/06/2015,updates,OTHER,0.449999958,phrase,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,@amazonecho,USERNAME,-0.04827255,entity,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,latest,OTHER,-0.46154511,phrase,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,Echo,OTHER,0.117818289,entity,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,up-to-date,OTHER,0.36500001,phrase,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,http://t.co/eDbG0xf2qB,LINK,0,entity,ebc7ef0b-099d-44ae-82d2-8029900dab79,Follow amazonecho to stay up-to-date on the latest Echo news and updates http://t.co/eDbG0xf2qB,23,26,24
24/06/2015,super,OTHER,0.600000024,phrase,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
24/06/2015,@fitbit,USERNAME,0.540000021,entity,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
24/06/2015,super watch,OTHER,0.600000024,theme,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
24/06/2015,fitness,OTHER,0.479999989,phrase,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
24/06/2015,http://t.co/mlmrFmrxUK,LINK,0,entity,d1b9475c-f650-42f2-ad2b-56d1de797dea,Surge into summer with fitbit's fitness super watch http://t.co/mlmrFmrxUK http://t.co/fnhDVrPBmg,15,32,20
