keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
http://t.co/tbomixijA7,LINK,0,545,621,570,First #IBMandTwitter cloud data services announced: http://t.co/tbomixijA7 http://t.co/soqbtQzCae,370,528,425
@SmarterPlanet,USERNAME,1.28E-04,1998,699,1512,"Today we launch the next phase of @SmarterPlanet, called •À_Made With IBM,•À_ at @The_Masters http://t.co/c8tIZOy0LV #MadeWithIBM",139,19,97
http://t.co/vblxDgpSZm,LINK,0,643,829,708,RT @tim_cook: Japan Post's new initiative has the power to improve care and quality of life for millions of seniors. http://t.co/vblxDgpSZm,643,829,708
quality,OTHER,0.326666673,681,838,734,RT @tim_cook: Japan Post's new initiative has the power to improve care and quality of life for millions of seniors. http://t.co/vblxDgpSZm,643,829,708
business apps,OTHER,0.115486801,538,127,392,News: Apple and IBM launch first wave of business apps http://t.co/zLGw7UxbdI http://t.co/kc3tKqq3VV,418,98,305
better,OTHER,0.012522772,566,256,446,RT @Forbes: IBM Smarter PlanetVoice: 6 ways to use analytics to better manage a workforce http://t.co/hfVsO9EWmI @IBM #bestof,65,48,59
http://t.co/seZ9QWuXpE,LINK,0,282,79,210,Words of wisdom from our founder http://t.co/seZ9QWuXpE http://t.co/oKcd3HBY59,106,15,74
@IBMBluemix,USERNAME,2.82E-12,1054,503,852,RT @IBMWatson: Watson can analyze personality characteristics from a writing style. Try the demo @IBMBluemix: http://t.co/x1MzG7v1Yg http:/•À_,171,99,145
http://t.co/jgTTBLJOk1,LINK,0,405,874,569,Smarter games are #MadeWithIBM. Here's how we put @rolandgarros in your pocket: http://t.co/jgTTBLJOk1 http://t.co/elQrpi7C27,331,851,513
landmark collaboration,OTHER,0.49000001,347,408,368,Here's more on our landmark collaboration with @Twitter: http://t.co/JjiLIMKtsm  #IBMandTwitter http://t.co/ckk88JxZEc,347,408,368
@ibmresearch,USERNAME,4.94E-06,178,91,138,Can you name a tune in 3 notes? An algorithm can: http://t.co/Gnv5Qr0rYV  RT @ibmresearch http://t.co/qMZgd7LdbK,35,39,36
major,OTHER,0.243555566,609,942,725,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
http://t.co/XOdI0CTJ5h,LINK,0,583,402,519,IBM Statement on Legislation in Arkansas and Indiana http://t.co/XOdI0CTJ5h,583,402,519
#ibmdesign,HASHTAG,0,621,168,459,RT @ibmdesign: RT if you know what this is... #ibmdesign http://t.co/4s9PJiKXK6,452,62,315
good business,OTHER,0.087706349,478,304,412,A nice Friday reminder - good design is good business http://t.co/N565OMGoEm http://t.co/11UzFlHKXa,87,69,80
http://t.co/gQxCbLZHwx,LINK,0,483,178,376,"50 years ago today, the IBM System/360 mainframe was introduced: http://t.co/gQxCbLZHwx  #Mainframe50 http://t.co/tppkkFwPCb",439,165,343
@ZDNet,USERNAME,9.87E-04,449,193,356,The public beta for Watson Analytics is now open http://t.co/3KlyIOpdOp via @ZDNet http://t.co/EAJeREfnni,92,32,71
#IBMandFacebook,HASHTAG,0.081666668,624,281,503,IBM and @facebook team up to deliver personalized brand experiences: http://t.co/2KcPyZL4ss  #IBMandFacebook http://t.co/Ig80CY4Jij,382,152,301
@CNBC,USERNAME,0,646,275,509,RT @IBMWatson: Warren Buffett shares his thoughts on #IBMWatson's enormously valuable future. http://t.co/CF73yei09T via @CNBC http://t.co/•À_,104,37,80
http://t.co/iOII9y3KKf,LINK,0,589,459,542,IBM announces $3 billion investment for new Internet of Things unit http://t.co/iOII9y3KKf https://t.co/cU6fb8Fqgn #IoT,353,140,278
