ID,Source Text,Summary,Detected Language,Detected Language Strength,Document Sentiment,Document Sentiment +/-,Model Sentiment,Model Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Suggested Phrase,Entity,Entity Type,Entity Sentiment,Entity Sentiment +/-,Entity Sentiment Evidence,Theme,Theme Sentiment,Theme Sentiment +/-,Theme Sentiment Evidence,Wikipedia™ Category,Wikipedia Sub Category,Wikipedia Category Strength,User Category,User Category Strength,User Category Sentiment,User Category Sentiment +/-,Query Category,Query Sub Category,Query Category Sentiment,Query Category Sentiment +/-,Query Category Relevancy,Intention Type,Who,What,Evidence
bda777ff-d871-45f1-bd01-a0de5c7a895c,Join me for lunch (and a keynote!) and help a great cause. @RFKHumanRights is working toward a more just world. https://t.co/QxaKne4itb,Join me for lunch (and a keynote!)... and help a great cause...  @RFKHumanRights is working toward a more just world... ,English,17,0.720000029,positive,,,,,great,0.720000029,positive,, @RFKHumanRights,Person,0,neutral,1,great cause,0.600000024,positive,4,Health_Problems,,0.635511875,,,,,,,,,,,,,
bda777ff-d871-45f1-bd01-a0de5c7a895c,Join me for lunch (and a keynote!) and help a great cause. @RFKHumanRights is working toward a more just world. https://t.co/QxaKne4itb,Join me for lunch (and a keynote!)... and help a great cause...  @RFKHumanRights is working toward a more just world... ,English,17,0.720000029,positive,,,,,,,,,https://t.co/QxaKne4itb,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time.You're going to love it! http://t.co/Mx3M0DO4Qf,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time... ,English,24,0.569397509,positive,,,,,love,1.200000048,positive,,  http://t.co/Mx3M0DO4Qf,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time.You're going to love it! http://t.co/Mx3M0DO4Qf,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time... ,English,24,0.569397509,positive,,,,,Thrilled,0.600000024,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time.You're going to love it! http://t.co/Mx3M0DO4Qf,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time... ,English,24,0.569397509,positive,,,so,,many customers,0.32516101,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time.You're going to love it! http://t.co/Mx3M0DO4Qf,Thrilled to see so many customers—all around the world—trying Apple Watch for the first time... ,English,24,0.569397509,positive,,,,,first time,0.152429,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,
8c6a8b0b-7cfb-4b25-ad11-0e01c8594640,The Watch is coming and our team at Fifth Avenue is ready! http://t.co/mgP8TEWlcA,The Watch is coming and our team at Fifth Avenue is ready!... ,English,11,0,neutral,,,,,,,,,Fifth Avenue,Place,0,neutral,2,,,,,,,,,,,,,,,,,,,,
8c6a8b0b-7cfb-4b25-ad11-0e01c8594640,The Watch is coming and our team at Fifth Avenue is ready! http://t.co/mgP8TEWlcA,The Watch is coming and our team at Fifth Avenue is ready!... ,English,11,0,neutral,,,,,,,,,  http://t.co/mgP8TEWlcA,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
d008c7fb-c6af-4db4-905d-e95397a91745,There's something very dangerous happening in states across the country.    http://t.co/QJTkCuZVdo,There's something very dangerous happening in states across the country... ,English,14,-0.872200012,negative,,,very,,dangerous,-0.872200012,negative,,  http://t.co/QJTkCuZVdo,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love.","Around the world, we strive to treat every customer the same — regardless of where they come from, how they worship or who they love... ",English,22,0.600000024,positive,,,,,love,0.600000024,positive,,,,,,,,,,,Business,,1,,,,,,,,,,,,,
